Rank,Start,End,Type,Name
3,16696.003195,16696.021129,COMM,MetaBcast
3,16696.021541,16696.031266,COMM,ScatterData
3,16696.031269,16696.075274,COMP,RebuildData
3,16696.075276,16696.083530,COMM,BcastCentr
3,16696.083531,16696.087297,COMP,CalcLocal
3,16696.087299,16696.185936,COMM,AllReduce
3,16696.185937,16696.185937,COMP,Update
3,16696.185938,16696.185942,COMM,BcastCentr
3,16696.185942,16696.189664,COMP,CalcLocal
3,16696.189667,16696.191033,COMM,AllReduce
3,16696.191033,16696.191034,COMP,Update
3,16696.191034,16696.191039,COMM,BcastCentr
3,16696.191039,16696.194516,COMP,CalcLocal
3,16696.194516,16696.196510,COMM,AllReduce
3,16696.196510,16696.196510,COMP,Update
3,16696.196511,16696.196512,COMM,BcastCentr
3,16696.196512,16696.200155,COMP,CalcLocal
3,16696.200157,16696.201694,COMM,AllReduce
3,16696.201694,16696.201695,COMP,Update
3,16696.201695,16696.201700,COMM,BcastCentr
3,16696.201700,16696.205192,COMP,CalcLocal
3,16696.205192,16696.207108,COMM,AllReduce
3,16696.207109,16696.207109,COMP,Update
3,16696.207110,16696.207115,COMM,BcastCentr
3,16696.207115,16696.210536,COMP,CalcLocal
3,16696.210536,16696.212707,COMM,AllReduce
3,16696.212707,16696.212708,COMP,Update
3,16696.212708,16696.212712,COMM,BcastCentr
3,16696.212712,16696.216224,COMP,CalcLocal
3,16696.216225,16696.217921,COMM,AllReduce
3,16696.217921,16696.217922,COMP,Update
3,16696.217922,16696.217925,COMM,BcastCentr
3,16696.217925,16696.221365,COMP,CalcLocal
3,16696.221373,16696.223113,COMM,AllReduce
3,16696.223113,16696.223114,COMP,Update
3,16696.223114,16696.223118,COMM,BcastCentr
3,16696.223118,16696.226562,COMP,CalcLocal
3,16696.226562,16696.228501,COMM,AllReduce
3,16696.228501,16696.228502,COMP,Update
3,16696.228503,16696.228504,COMM,BcastCentr
3,16696.228505,16696.232101,COMP,CalcLocal
3,16696.232101,16696.233825,COMM,AllReduce
3,16696.233825,16696.233826,COMP,Update
3,16696.233826,16696.233830,COMM,BcastCentr
3,16696.233830,16696.237324,COMP,CalcLocal
3,16696.237324,16696.239055,COMM,AllReduce
3,16696.239055,16696.239056,COMP,Update
3,16696.239057,16696.239060,COMM,BcastCentr
3,16696.239060,16696.242715,COMP,CalcLocal
3,16696.242715,16696.244425,COMM,AllReduce
3,16696.244425,16696.244425,COMP,Update
3,16696.244426,16696.244430,COMM,BcastCentr
3,16696.244430,16696.247745,COMP,CalcLocal
3,16696.247745,16696.249333,COMM,AllReduce
3,16696.249334,16696.249334,COMP,Update
3,16696.249334,16696.249341,COMM,BcastCentr
3,16696.249341,16696.252661,COMP,CalcLocal
3,16696.252661,16696.254600,COMM,AllReduce
3,16696.254600,16696.254600,COMP,Update
3,16696.254600,16696.254608,COMM,BcastCentr
3,16696.254608,16696.258104,COMP,CalcLocal
3,16696.258104,16696.260055,COMM,AllReduce
3,16696.260055,16696.260056,COMP,Update
3,16696.260057,16696.260060,COMM,BcastCentr
3,16696.260060,16696.263527,COMP,CalcLocal
3,16696.263536,16696.265473,COMM,AllReduce
3,16696.265473,16696.265473,COMP,Update
3,16696.265474,16696.265477,COMM,BcastCentr
3,16696.265477,16696.268867,COMP,CalcLocal
3,16696.268867,16696.270685,COMM,AllReduce
3,16696.270685,16696.270686,COMP,Update
3,16696.270686,16696.270689,COMM,BcastCentr
3,16696.270689,16696.274219,COMP,CalcLocal
3,16696.274219,16696.275932,COMM,AllReduce
3,16696.275933,16696.275933,COMP,Update
3,16696.275934,16696.275946,COMM,BcastCentr
3,16696.275946,16696.279448,COMP,CalcLocal
3,16696.279448,16696.281188,COMM,AllReduce
3,16696.281188,16696.281188,COMP,Update
3,16696.281189,16696.281191,COMM,BcastCentr
3,16696.281191,16696.284613,COMP,CalcLocal
3,16696.284614,16696.286216,COMM,AllReduce
3,16696.286216,16696.286217,COMP,Update
3,16696.286217,16696.286217,COMM,BcastCentr
3,16696.286217,16696.289557,COMP,CalcLocal
3,16696.289557,16696.291806,COMM,AllReduce
3,16696.291806,16696.291806,COMP,Update
3,16696.291807,16696.291809,COMM,BcastCentr
3,16696.291810,16696.295317,COMP,CalcLocal
3,16696.295317,16696.298464,COMM,AllReduce
3,16696.298465,16696.298465,COMP,Update
